,Longitude,Latitude,have_plant
0,-120.109391,36.177598,1
1,-116.327979,33.26524,1
2,-118.304671,34.707428,1
3,-118.274109,34.708588,1
4,-120.115552,36.175836,1
5,-118.242989,34.903488,1
6,-120.046435,36.941045,1
7,-115.532695,32.967109,1
8,-119.110889,35.801176,1
9,-118.288133,34.665582,1
10,-120.106656,35.990852,1
11,-117.456763,34.552307,1
12,-121.279023,38.253092,1
13,-118.171566,35.017969,1
14,-117.153822,34.50918,1
15,-116.594548,33.923347,1
16,-117.939522,34.618626,1
17,-118.051145,34.655113,1
18,-116.235876,34.166356,1
19,-119.255203,36.387268,1
20,-117.971144,34.654388,1
21,-121.693001,38.50153,1
22,-118.051936,34.650621,1
23,-121.338061,38.237911,1
24,-118.061071,34.647943,1
25,-119.133777,36.211927,1
26,-122.092698,38.231937,1
27,-114.918553,33.565188,1
28,-117.194878,34.594302,1
29,-121.926425,38.410856,1
30,-116.530143,33.923044,1
31,-117.643653,34.601219,1
32,-118.162135,34.64378,1
33,-120.365926,36.759626,1
34,-120.101408,35.985182,1
35,-116.683863,34.853599,1
36,-115.481892,32.983337,1
37,-118.061156,34.669019,1
38,-121.431259,38.338753,1
39,-119.426157,36.538178,1
40,-118.062578,34.69513,1
41,-118.251246,34.904113,1
42,-121.684357,39.373372,1
43,-119.038005,36.100484,1
44,-121.681455,39.373289,1
45,-121.182478,38.469518,1
46,-121.180088,38.463103,1
47,-121.178084,38.466028,1
48,-121.461629,38.28355,1
49,-121.465542,38.282099,1
50,-117.973256,34.654383,1
51,-114.917988,33.568471,1
52,-114.918045,33.566907,1
53,-120.03261,35.368633,1
54,-118.954207,35.103963,1
55,-118.206682,34.128028,1
56,-118.286848,34.664956,1
57,-117.097058,34.043323,1
58,-116.152878,34.174111,1
59,-117.257817,34.480112,1
60,-117.481927,34.51231,1
61,-118.431426,34.319539,1
62,-119.038053,35.402755,1
63,-119.716317,35.647639,1
64,-117.939375,34.122638,1
65,-121.964362,38.400022,1
66,-121.733703,38.657468,1
67,-121.475657,38.516214,1
68,-115.783372,32.7622,1
69,-121.385352,38.363565,1
70,-116.869667,34.398252,1
71,-120.107782,36.395424,1
72,-120.123306,36.52382,1
73,-120.988417,37.736402,1
74,-120.132734,36.141884,1
75,-119.451017,35.815505,1
76,-115.394115,33.823568,1
77,-115.471515,33.085561,1
78,-120.123959,36.37817,1
79,-121.41057,38.347677,1
80,-115.495117,33.245914,1
81,-117.440508,34.547517,1
82,-120.341163,36.424422,1
83,-120.313283,36.527411,1
84,-119.438642,35.901922,1
85,-119.426903,35.909054,1
86,-118.193516,35.229696,1
87,-116.153642,34.171191,1
88,-116.091639,34.189891,1
89,-119.650315,36.163408,1
90,-119.829948,36.221314,1
91,-119.572919,36.142132,1
92,-115.726842,32.745065,1
93,-118.333067,34.929474,1
94,-119.925656,35.317457,1
95,-120.102349,35.980693,1
96,-121.164255,38.450118,1
97,-119.79754,36.678879,1
98,-121.401009,38.515353,1
